Feature,Importance
cough,0.019142550316347554
shortness of breath,0.017500987999631297
dizziness,0.014888113455603683
emotional symptoms,0.014262026264177743
sharp abdominal pain,0.01405300088952443
depressive or psychotic symptoms,0.013386875541001016
vomiting,0.012585911065287128
headache,0.012113437837030783
sharp chest pain,0.011604059357326647
fatigue,0.01011502757705799
knee lump or mass,0.00981739407048802
nasal congestion,0.00967287355111531
lack of growth,0.009507832206024016
weight gain,0.008994341393856378
involuntary urination,0.008981411528685574
difficulty speaking,0.008918047231155407
hand or finger pain,0.008613678819970006
anxiety and nervousness,0.008586715857673313
elbow weakness,0.008524315869543345
hot flashes,0.008502202249140459
skin swelling,0.008470360609437752
arm stiffness or tightness,0.008419546492399817
cross-eyed,0.008218570827701013
sore throat,0.00809533370829828
abnormal involuntary movements,0.008088609433210754
diminished hearing,0.007978611823972158
feeling ill,0.0079420309168106
nausea,0.007754230786600282
flatulence,0.007724030693074446
suprapubic pain,0.007709241037563133
wrist swelling,0.007593279021825928
leg pain,0.0074765681725640935
skin growth,0.007433952607864473
back pain,0.007149417663817584
abusing alcohol,0.006981900954538392
difficulty in swallowing,0.006945757028396454
ear pain,0.0068415047997291
insomnia,0.006807485548316971
blood in stool,0.006718335309423847
depression,0.006670925880044597
lower abdominal pain,0.006643183561485514
groin mass,0.006530559243803104
hip pain,0.006420600614860054
knee pain,0.006345143688513601
fainting,0.006307343529996964
wrist weakness,0.006293615687454655
low back weakness,0.006227963938368155
bones are painful,0.00621963955771311
throat feels tight,0.006099538991645541
hand or finger stiffness or tightness,0.006048317441111212
disturbance of memory,0.006014452907433706
itchy eyelid,0.006012799640412976
retention of urine,0.00583046024325871
swollen lymph nodes,0.005815730309593317
pain in eye,0.005808338230840767
skin rash,0.005799812187342276
diminished vision,0.005745684489851635
fever,0.005745236851876071
lip swelling,0.005742097556782127
vaginal dryness,0.005740419634845908
drug abuse,0.005702259351296702
lump in throat,0.005659041148625282
abnormal appearing skin,0.005638332375617864
seizures,0.005553355647172673
swelling of scrotum,0.005525873382091183
excessive appetite,0.00542917270093585
knee stiffness or tightness,0.005421008017238842
impotence,0.005345348771893133
back weakness,0.005199132422956263
irregular belly button,0.005057057729438253
vaginal bleeding after menopause,0.0050123714578360545
foot or toe pain,0.004925861418439083
arm pain,0.004867963621884975
peripheral edema,0.004780751765874765
symptoms of the scrotum and testes,0.0047671507165192376
muscle swelling,0.004764074333198812
weakness,0.004728799934345856
muscle stiffness or tightness,0.0047284060866960844
symptoms of eye,0.004692618903133572
dry lips,0.004593106567514349
skin lesion,0.004589472736731354
vaginal itching,0.004588077879421502
pus draining from ear,0.004519066720068993
itching of scrotum,0.004514711535790044
problems with movement,0.004499909559610071
facial pain,0.004499487563869697
nightmares,0.0044909380346730724
excessive anger,0.00449062383276539
mass in scrotum,0.004466090310730894
wrist pain,0.004330325457171261
joint pain,0.004311623357206146
incontinence of stool,0.004151533052365821
shoulder pain,0.004130266190048612
hoarse voice,0.004088704326754332
neck mass,0.004081646329854831
decreased appetite,0.004020759994122101
neck swelling,0.004017391957974777
itchiness of eye,0.00399910258531967
recent weight loss,0.003995958821911679
jaundice,0.00383631248841391
painful urination,0.0038358222401424008
acne or pimples,0.0037727003540679173
throat swelling,0.0037331269731175213
knee swelling,0.003717942908234555
ache all over,0.0036481974533820634
pain or soreness of breast,0.0036452448676268113
frequent urination,0.0036025552142337756
sleepiness,0.0035897210244362045
uterine contractions,0.00357794834975078
smoking problems,0.003576692537421231
hand or finger swelling,0.003486623556661702
diarrhea,0.0034836456969599204
arm swelling,0.0034657295797669726
palpitations,0.0034607084832133936
foreign body sensation in eye,0.003442116093982533
pelvic pain,0.0033732815180898316
mouth ulcer,0.003304071129046693
irregular heartbeat,0.003277654162208456
neck pain,0.003214779803626674
shoulder swelling,0.0031613687673786458
blood in urine,0.00315258056002823
tongue lesions,0.003141754311455239
abnormal movement of eyelid,0.003133632581907038
intermenstrual bleeding,0.003055107904823318
double vision,0.0030472036306065527
chills,0.002958542487165142
feeling cold,0.0029099158667614425
constipation,0.002818888246563316
vaginal discharge,0.0027589128092392443
chest tightness,0.0026403208549109656
foot or toe swelling,0.0026245460135913535
fears and phobias,0.0025967858367742713
eye redness,0.002574638015839195
spots or clouds in vision,0.002561110744079595
muscle pain,0.0025604973128686907
leg cramps or spasms,0.0025549787880980736
absence of menstruation,0.002536161946400885
loss of sensation,0.0025206858561779167
itching of skin,0.0025121576495451665
knee weakness,0.002396067531084129
allergic reaction,0.002390106520594604
burning abdominal pain,0.0023822580763240586
hostile behavior,0.0023541285158295345
pain in testicles,0.0023423369340393727
leg swelling,0.0023225718863898754
irritable infant,0.0023147280623568686
rectal bleeding,0.0023000186925190686
penis pain,0.0022531733813488473
irregular appearing scalp,0.002244128671855011
bleeding or discharge from nipple,0.0022414251164152
lacrimation,0.0022187802567726904
pain of the anus,0.0022129554187223953
white discharge from eye,0.002162007184620285
ankle pain,0.002139801943499249
ankle swelling,0.0021262465477369743
sweating,0.002108068567802677
low back pain,0.002105567318696887
leg lump or mass,0.0020910893182601053
eye deviation,0.002086437851452187
delusions or hallucinations,0.002079073855614338
blindness,0.0020293525585035254
temper problems,0.002007716738276142
side pain,0.0020076300806667075
elbow pain,0.001995157067168292
restlessness,0.001987143451912868
mouth pain,0.001974279039616457
lower body pain,0.0019553736092939476
stomach bloating,0.0019417598909437057
bumps on penis,0.001932678420076737
skin on arm or hand looks infected,0.0019301473506755007
vomiting blood,0.0018682544302890995
excessive growth,0.0018524989572062623
upper abdominal pain,0.0018008052465966762
eye moves abnormally,0.0017988801833433946
leg stiffness or tightness,0.001707416283531843
skin irritation,0.0016785805330068301
lump or mass of breast,0.0016487839854036443
pain during intercourse,0.0016380709404086753
symptoms of bladder,0.001628091244761976
spotting or bleeding during pregnancy,0.0016194739686380933
foot or toe weakness,0.0015955867057863453
heartburn,0.0015933656920598348
leg weakness,0.0015762671965850285
"skin dryness, peeling, scaliness, or roughness",0.0015577491005286212
eye burns or stings,0.0015277380607523166
bleeding from ear,0.00149970034856733
shoulder stiffness or tightness,0.0014938078938261429
slurring words,0.0014920232058596341
ringing in ear,0.001472900628377946
nosebleed,0.0014035003089108873
hemoptysis,0.0013858198289966625
toothache,0.0013728954359249756
heavy menstrual flow,0.0013694324624856215
infertility,0.0013553128942490492
skin moles,0.001337662934849928
swollen abdomen,0.0013185459295427142
unwanted hair,0.0013169829047082382
pain during pregnancy,0.0013142967023978356
focal weakness,0.0012804660566820777
increased heart rate,0.001273038441431893
lymphedema,0.001255064823494077
long menstrual periods,0.0012451279115951197
itchy ear(s),0.0012317293468653205
low self-esteem,0.0012247612847093821
fluid in ear,0.0012226327245749228
excessive urination at night,0.0012157087223698042
unpredictable menstruation,0.0012149153251642996
neck stiffness or tightness,0.001213110179800816
abnormal breathing sounds,0.001212677369640991
difficulty breathing,0.0012075178944857816
changes in stool appearance,0.0012052014023744627
elbow swelling,0.0011927799073853148
frontal headache,0.0011813143913826174
eyelid lesion or rash,0.0011688826037851798
paresthesia,0.0011593839842825963
decreased heart rate,0.0011455838957426087
